date,close,high,low,trade_count,open,volume,vwap
2022-10-24 04:00:00+00:00,378.77,380.04,373.145,11584,375.91,1388193,377.432283
2022-10-25 04:00:00+00:00,384.83,385.235,378.78,9455,378.87,1211118,383.302879
2022-10-26 04:00:00+00:00,382.13,387.55,381.36,13128,381.62,1585903,383.552249
2022-10-27 04:00:00+00:00,380.07,384.93,379.33,14747,383.28,1493070,381.440923
2022-10-28 04:00:00+00:00,388.99,389.52,379.695,15064,379.87,1568316,386.505473
2022-10-31 04:00:00+00:00,386.22,388.38,385.34,14100,386.4,1745821,386.650703
2022-11-01 04:00:00+00:00,384.51,390.37,383.39,9738,390.145,1294546,385.762307
2022-11-02 04:00:00+00:00,375.02,388.61,374.96,15965,383.97,2467552,381.587949
2022-11-03 04:00:00+00:00,371.035,374.2,368.82,13925,371.41,1643995,371.953569
2022-11-04 04:00:00+00:00,376.14,378.75,370.06,12290,377.0,1658118,374.218854
2022-11-07 05:00:00+00:00,380.01,380.56,375.53,9820,377.83,1250909,378.471888
2022-11-08 05:00:00+00:00,381.93,385.12,377.73,12257,381.11,1721182,381.922674
2022-11-09 05:00:00+00:00,374.17,381.13,373.63,10196,379.87,1329373,377.064948
2022-11-10 05:00:00+00:00,394.485,395.035,385.67,18479,388.01,2435337,391.248462
2022-11-11 05:00:00+00:00,398.5,399.35,393.66,16030,395.65,1448532,397.109506
2022-11-14 05:00:00+00:00,394.92,400.17,394.855,8447,396.67,1002684,397.5516
2022-11-15 05:00:00+00:00,398.53,402.29,394.57,15381,401.15,1826755,398.853951
2022-11-16 05:00:00+00:00,395.51,397.68,394.88,9696,396.75,1240798,396.031552
2022-11-17 05:00:00+00:00,394.32,394.92,390.16,9648,390.48,1403944,392.277058
2022-11-18 05:00:00+00:00,396.23,397.7,393.07,9111,397.7,1175909,395.24767
2022-11-21 05:00:00+00:00,394.56,395.71,392.8,8706,394.665,897412,394.479126
2022-11-22 05:00:00+00:00,399.87,400.055,395.22,9512,396.65,990774,398.241462
2022-11-23 05:00:00+00:00,402.24,402.93,399.33,9526,399.56,1040098,401.545316
